1.00528	1.00528	31792.4	
1.01972	1.00528	28528.5	
1.00528	1.01972	28533.5	
1.01972	1.01972	25293.5	
1.03028	1.00528	26413.4	
1.04472	1.00528	23873.5	
1.03028	1.01972	23195.7	
1.04472	1.01972	20679.1	
1.05528	1.00528	22254	
1.06972	1.00528	20345.6	
1.05528	1.01972	19076.3	
1.06972	1.01972	17190.5	
1.08028	1.00528	19156.3	
1.09472	1.00528	17793.6	
1.08028	1.01972	16017.4	
1.09472	1.01972	14676.5	
1.10528	1.00528	16974.2	
1.11972	1.00528	16078.6	
1.10528	1.01972	13872.7	
1.11972	1.01972	12997.9	
1.13028	1.00528	15574.3	
1.14472	1.00528	15074.5	
1.13028	1.01972	12508.6	
1.14472	1.01972	12028.7	
1.15528	1.00528	14833.1	
1.16972	1.00528	14666.9	
1.15528	1.01972	11804.6	
1.16972	1.01972	11656.7	
1.18028	1.00528	14652	
1.19472	1.00528	14763.8	
1.18028	1.01972	11652.4	
1.19472	1.01972	11782.4	
1.20528	1.00528	14934.1	
1.21972	1.00528	15276	
1.20528	1.01972	11965.7	
1.21972	1.01972	12325.1	
1.23028	1.00528	15599.2	
1.24472	1.00528	16130.2	
1.23028	1.01972	12660.8	
1.24472	1.01972	13208.7	
1.25528	1.00528	16578.5	
1.26972	1.00528	17263.7	
1.25528	1.01972	13669.5	
1.26972	1.01972	14371.1	
1.28028	1.00528	17813.5	
1.29472	1.00528	18623	
1.28028	1.01972	14932.7	
1.29472	1.01972	15758	
1.30528	1.00528	19253.9	
1.31972	1.00528	20161.5	
1.30528	1.01972	16400	
1.31972	1.01972	17322.7	
1.33028	1.00528	20855.3	
1.34472	1.00528	21838	
1.33028	1.01972	18027.4	
1.34472	1.01972	19024	
1.35528	1.00528	22579.4	
1.36972	1.00528	23617.1	
1.35528	1.01972	19775.5	
1.36972	1.01972	20826.6	
1.38028	1.00528	24392.2	
1.39472	1.00528	25468.1	
1.38028	1.01972	21611.4	
1.39472	1.01972	22699.9	
1.40528	1.00528	26265.3	
1.41972	1.00528	27364.2	
1.40528	1.01972	23506.1	
1.41972	1.01972	24617.6	
1.43028	1.00528	28174.2	
1.44472	1.00528	29284.4	
1.43028	1.01972	25436	
1.44472	1.01972	26558.9	
1.45528	1.00528	30098.6	
1.46972	1.00528	31210.2	
1.45528	1.01972	27381.4	
1.46972	1.01972	28504.1	
1.48028	1.00528	32022.3	
1.49472	1.00528	33127.5	
1.48028	1.01972	29324.2	
1.49472	1.01972	30440	
1.00528	1.03028	26419.6	
1.01972	1.03028	23197	
1.00528	1.04472	23879.2	
1.01972	1.04472	20680.2	
1.03028	1.03028	21111.7	
1.04472	1.03028	18611.9	
1.03028	1.04472	18611.8	
1.04472	1.04472	16134.8	
1.05528	1.03028	17021.3	
1.06972	1.03028	15151.8	
1.05528	1.04472	14560.6	
1.06972	1.04472	12713.2	
1.08028	1.03028	13990.5	
1.09472	1.03028	12665.4	
1.08028	1.04472	11567.7	
