2,3,166,,,
12,0,0,0,,
16,0,0,1.161249,,
16,0,0,-1.161249,,
1.1612,0,,,1.1612,0
0,0,0,,,
0,0,1.161249,,,
0,0,-1.161249,,,
1,0,,,1,0
0,0,0,,,
0,0,1,,,
0,0,-1,,,
1.05,0.05,,,1.05,0.05
0,0,-0.036364,,,
0,0,1.063636,,,
0,0,-1.036364,,,
1.1,0.1,,,1.1,0.1
0,0,-0.072727,,,
0,0,1.127273,,,
0,0,-1.072727,,,
1.15,0.15,,,1.15,0.15
0,0,-0.109091,,,
0,0,1.190909,,,
0,0,-1.109091,,,
1.2,0.2,,,1.2,0.2
0,0,-0.145455,,,
0,0,1.254545,,,
0,0,-1.145455,,,
1.25,0.25,,,1.25,0.25
0,0,-0.181818,,,
0,0,1.318182,,,
0,0,-1.181818,,,
1.3,0.3,,,1.3,0.3
0,0,-0.218182,,,
0,0,1.381818,,,
0,0,-1.218182,,,
1.35,0.35,,,1.35,0.35
0,0,-0.254545,,,
0,0,1.445455,,,
0,0,-1.254545,,,
1.4,0.4,,,1.4,0.4
0,0,-0.290909,,,
0,0,1.509091,,,
0,0,-1.290909,,,
1.45,0.45,,,1.45,0.45
0,0,-0.327273,,,
0,0,1.572727,,,
0,0,-1.327273,,,
1.5,0.5,,,1.5,0.5
0,0,-0.363636,,,
0,0,1.636364,,,
0,0,-1.363636,,,
1.55,0.55,,,1.55,0.55
0,0,-0.4,,,
0,0,1.7,,,
0,0,-1.4,,,
1.6,0.6,,,1.6,0.6
0,0,-0.436364,,,
0,0,1.763636,,,
0,0,-1.436364,,,
1.65,0.65,,,1.65,0.65
0,0,-0.472727,,,
0,0,1.827273,,,
0,0,-1.472727,,,
1.7,0.7,,,1.7,0.7
0,0,-0.509091,,,
0,0,1.890909,,,
0,0,-1.509091,,,
1.75,0.75,,,1.75,0.75
0,0,-0.545455,,,
0,0,1.954545,,,
0,0,-1.545455,,,
1.8,0.8,,,1.8,0.8
0,0,-0.581818,,,
0,0,2.018182,,,
0,0,-1.581818,,,
1.85,0.85,,,1.85,0.85
0,0,-0.618182,,,
0,0,2.081818,,,
0,0,-1.618182,,,
1.9,0.9,,,1.9,0.9
0,0,-0.654545,,,
0,0,2.145455,,,
0,0,-1.654545,,,
1.95,0.95,,,1.95,0.95
0,0,-0.690909,,,
0,0,2.209091,,,
0,0,-1.690909,,,
2,1,,,2,1
0,0,-0.727273,,,
0,0,2.272727,,,
0,0,-1.727273,,,
2.05,0.95,,,2.05,0.95
0,0,-0.690909,,,
0,0,2.309091,,,
0,0,-1.790909,,,
2,0.9,,,2,0.9
0,0,-0.654545,,,
0,0,2.245455,,,
0,0,-1.754545,,,
1.95,0.85,,,1.95,0.85
0,0,-0.618182,,,
0,0,2.181818,,,
0,0,-1.718182,,,
1.9,0.8,,,1.9,0.8
0,0,-0.581818,,,
0,0,2.118182,,,
0,0,-1.681818,,,
1.85,0.75,,,1.85,0.75
0,0,-0.545455,,,
0,0,2.054545,,,
0,0,-1.645455,,,
1.8,0.7,,,1.8,0.7
0,0,-0.509091,,,
0,0,1.990909,,,
0,0,-1.609091,,,
1.75,0.65,,,1.75,0.65
0,0,-0.472727,,,
0,0,1.927273,,,
0,0,-1.572727,,,
1.7,0.6,,,1.7,0.6
0,0,-0.436364,,,
0,0,1.863636,,,
0,0,-1.536364,,,
1.65,0.55,,,1.65,0.55
0,0,-0.4,,,
0,0,1.8,,,
0,0,-1.5,,,
1.6,0.5,,,1.6,0.5
0,0,-0.363636,,,
0,0,1.736364,,,
0,0,-1.463636,,,
1.55,0.45,,,1.55,0.45
0,0,-0.327273,,,
0,0,1.672727,,,
0,0,-1.427273,,,
1.5,0.4,,,1.5,0.4
0,0,-0.290909,,,
0,0,1.609091,,,
0,0,-1.390909,,,
1.45,0.35,,,1.45,0.35
0,0,-0.254545,,,
0,0,1.545455,,,
0,0,-1.354545,,,
1.4,0.3,,,1.4,0.3
0,0,-0.218182,,,
0,0,1.481818,,,
0,0,-1.318182,,,
1.35,0.25,,,1.35,0.25
0,0,-0.181818,,,
0,0,1.418182,,,
0,0,-1.281818,,,
1.3,0.2,,,1.3,0.2
0,0,-0.145455,,,
0,0,1.354545,,,
0,0,-1.245455,,,
1.25,0.15,,,1.25,0.15
0,0,-0.109091,,,
0,0,1.290909,,,
0,0,-1.209091,,,
1.2,0.1,,,1.2,0.1
0,0,-0.072727,,,
0,0,1.227273,,,
0,0,-1.172727,,,
1.15,0.05,,,1.15,0.05
0,0,-0.036364,,,
0,0,1.163636,,,
0,0,-1.136364,,,
1.1,0,,,1.1,0
0,0,0,,,
0,0,1.1,,,
0,0,-1.1,,,
1.05,-0.05,,,1.05,-0.05
0,0,0.036364,,,
0,0,1.036364,,,
0,0,-1.063636,,,
1.1,-0.1,,,1.1,-0.1
0,0,0.072727,,,
0,0,1.072727,,,
0,0,-1.127273,,,
1.15,-0.05,,,1.15,-0.05
0,0,0.036364,,,
0,0,1.136364,,,
0,0,-1.163636,,,
1.2,0,,,1.2,0
0,0,0,,,
0,0,1.2,,,
0,0,-1.2,,,
1.25,0.05,,,1.25,0.05
0,0,-0.036364,,,
0,0,1.263636,,,
0,0,-1.236364,,,
1.3,0.1,,,1.3,0.1
0,0,-0.072727,,,
0,0,1.327273,,,
0,0,-1.272727,,,
1.35,0.15,,,1.35,0.15
0,0,-0.109091,,,
0,0,1.390909,,,
0,0,-1.309091,,,
1.4,0.2,,,1.4,0.2
0,0,-0.145455,,,
0,0,1.454545,,,
0,0,-1.345455,,,
1.45,0.25,,,1.45,0.25
0,0,-0.181818,,,
0,0,1.518182,,,
0,0,-1.381818,,,
1.5,0.3,,,1.5,0.3
0,0,-0.218182,,,
0,0,1.581818,,,
0,0,-1.418182,,,
1.55,0.35,,,1.55,0.35
0,0,-0.254545,,,
0,0,1.645455,,,
0,0,-1.454545,,,
1.6,0.4,,,1.6,0.4
0,0,-0.290909,,,
0,0,1.709091,,,
0,0,-1.490909,,,
1.65,0.45,,,1.65,0.45
0,0,-0.327273,,,
0,0,1.772727,,,
0,0,-1.527273,,,
1.7,0.5,,,1.7,0.5
0,0,-0.363636,,,
0,0,1.836364,,,
0,0,-1.563636,,,
1.75,0.55,,,1.75,0.55
0,0,-0.4,,,
0,0,1.9,,,
0,0,-1.6,,,
1.8,0.6,,,1.8,0.6
0,0,-0.436364,,,
0,0,1.963636,,,
0,0,-1.636364,,,
1.85,0.65,,,1.85,0.65
0,0,-0.472727,,,
0,0,2.027273,,,
0,0,-1.672727,,,
1.9,0.7,,,1.9,0.7
0,0,-0.509091,,,
0,0,2.090909,,,
0,0,-1.709091,,,
1.95,0.75,,,1.95,0.75
0,0,-0.545455,,,
0,0,2.154545,,,
0,0,-1.745455,,,
2,0.8,,,2,0.8
0,0,-0.581818,,,
0,0,2.218182,,,
0,0,-1.781818,,,
2.05,0.85,,,2.05,0.85
0,0,-0.618182,,,
0,0,2.281818,,,
0,0,-1.818182,,,
2.1,0.9,,,2.1,0.9
0,0,-0.654545,,,
0,0,2.345455,,,
0,0,-1.854545,,,
2.15,0.85,,,2.15,0.85
0,0,-0.618182,,,
0,0,2.381818,,,
0,0,-1.918182,,,
2.1,0.8,,,2.1,0.8
0,0,-0.581818,,,
0,0,2.318182,,,
0,0,-1.881818,,,
2.05,0.75,,,2.05,0.75
0,0,-0.545455,,,
0,0,2.254545,,,
0,0,-1.845455,,,
2,0.7,,,2,0.7
0,0,-0.509091,,,
0,0,2.190909,,,
0,0,-1.809091,,,
1.95,0.65,,,1.95,0.65
0,0,-0.472727,,,
0,0,2.127273,,,
0,0,-1.772727,,,
1.9,0.6,,,1.9,0.6
0,0,-0.436364,,,
0,0,2.063636,,,
0,0,-1.736364,,,
1.85,0.55,,,1.85,0.55
0,0,-0.4,,,
0,0,2,,,
0,0,-1.7,,,
1.8,0.5,,,1.8,0.5
0,0,-0.363636,,,
0,0,1.936364,,,
0,0,-1.663636,,,
1.75,0.45,,,1.75,0.45
0,0,-0.327273,,,
0,0,1.872727,,,
0,0,-1.627273,,,
1.7,0.4,,,1.7,0.4
0,0,-0.290909,,,
0,0,1.809091,,,
0,0,-1.590909,,,
1.65,0.35,,,1.65,0.35
0,0,-0.254545,,,
0,0,1.745455,,,
0,0,-1.554545,,,
1.6,0.3,,,1.6,0.3
0,0,-0.218182,,,
0,0,1.681818,,,
0,0,-1.518182,,,
1.55,0.25,,,1.55,0.25
0,0,-0.181818,,,
0,0,1.618182,,,
0,0,-1.481818,,,
1.5,0.2,,,1.5,0.2
0,0,-0.145455,,,
0,0,1.554545,,,
0,0,-1.445455,,,
1.45,0.15,,,1.45,0.15
0,0,-0.109091,,,
0,0,1.490909,,,
0,0,-1.409091,,,
1.4,0.1,,,1.4,0.1
0,0,-0.072727,,,
0,0,1.427273,,,
0,0,-1.372727,,,
1.35,0.05,,,1.35,0.05
0,0,-0.036364,,,
0,0,1.363636,,,
0,0,-1.336364,,,
1.3,0,,,1.3,0
0,0,0,,,
0,0,1.3,,,
0,0,-1.3,,,
1.25,-0.05,,,1.25,-0.05
0,0,0.036364,,,
0,0,1.236364,,,
0,0,-1.263636,,,
1.2,-0.1,,,1.2,-0.1
0,0,0.072727,,,
0,0,1.172727,,,
0,0,-1.227273,,,
1.15,-0.15,,,1.15,-0.15
0,0,0.109091,,,
0,0,1.109091,,,
0,0,-1.190909,,,
1.2,-0.2,,,1.2,-0.2
0,0,0.145455,,,
0,0,1.145455,,,
0,0,-1.254545,,,
1.25,-0.15,,,1.25,-0.15
0,0,0.109091,,,
